#id	Family_cod	Family	family_description	family_type	specie
RF01631	ceN41	Caenorhabditis snoRNA ceN41	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01632	ceN42	Caenorhabditis snoRNA ceN42	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01633	ceN43	Caenorhabditis snoRNA ceN43	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01634	ceN44	Caenorhabditis snoRNA ceN44	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01635	ceN45	Caenorhabditis snoRNA ceN45	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01636	ceN46	Caenorhabditis snoRNA ceN46	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01637	ceN47	Nematode snoRNA ceN47	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01638	ceN48	Caenorhabditis snoRNA ceN48	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01639	ceN49	Caenorhabditis snoRNA ceN49	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01640	ceN51	Caenorhabditis snoRNA ceN51	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01641	ceN53	Caenorhabditis snoRNA ceN53	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01642	ceN54	Caenorhabditis snoRNA ceN54	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01643	ceN56	Caenorhabditis sRNA ceN56	Gene; sRNA;	Eukaryota; 	\N
RF01644	ceN59	Caenorhabditis snoRNA ceN59	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01645	ceN58	Nematode snoRNA ceN58	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01646	ceN63	Caenorhabditis snoRNA ceN63	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01647	ceN61	Caenorhabditis snoRNA ceN61	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01648	ceN65	Caenorhabditis snoRNA ceN65	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01649	ceN67	Caenorhabditis snoRNA ceN67	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01650	ceN68	Caenorhabditis snoRNA ceN48	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01651	ceN69	Caenorhabditis snoRNA ceN69	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01652	ceN70	Caenorhabditis snoRNA ceN70	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01653	ceN80	Caenorhabditis snoRNA ceN80	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01654	ceN82	Caenorhabditis snoRNA ceN82	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01655	ceN84	Caenorhabditis snoRNA ceN84	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01656	ceN72-3_ceN74-2	Nematode sRNA ceN72-3_ceN74-2	Gene; sRNA;	Eukaryota; 	\N
RF01658	ceN81	Caenorhabditis snoRNA ceN81	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01659	ceN86	Caenorhabditis snoRNA ceN86	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01660	ceN88	Nematode snoRNA ceN88	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01661	ceN92	Caenorhabditis snoRNA ceN92	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01662	ceN89	Caenorhabditis snoRNA ceN89	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01663	ceN93	Caenorhabditis sRNA ceN93	Gene; sRNA;	Eukaryota; 	\N
RF01664	ceN101	Caenorhabditis snoRNA ceN101	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
RF01665	P13	Pseudomonas sRNA P13	Gene; sRNA;	Bacteria; 	\N
RF01666	rox2	Drosophila rox2 ncRNA	Cis-reg;	Eukaryota; 	\N
RF01667	rox1	Drosophila rox1 ncRNA	Cis-reg;	Eukaryota; 	\N
RF01668	P10	Pseudomonas sRNA P10	Gene; sRNA;	Bacteria; 	\N
RF01669	P14	Pseudomonas sRNA P14	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01670	P17	Pseudomonas sRNA P17	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01671	P18	Pseudomonas sRNA P18	Gene; sRNA;	Bacteria; 	\N
RF01672	P2	Psudomonas sRNA P2	Gene; sRNA;	Bacteria; 	\N
RF01673	PhrS	PhrS	Gene; sRNA;	Bacteria; 	\N
RF01674	P27	Pseudomonas sRNA P27	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01675	CrcZ	Pseudomonas sRNA CrcZ	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01676	P31	Pseudomonas sRNA P31	Gene; sRNA;	Bacteria; 	\N
RF01677	P35	Pseudomonas sRNA P35	Gene; sRNA;	Bacteria; 	\N
RF01678	P37	Pseudomonas sRNA P37	Gene; sRNA;	Bacteria; 	\N
RF01679	P36	Pseudomonas sRNA P36	Gene; sRNA;	Bacteria; 	\N
RF01680	P5	Pseudomonas sRNA P5	Gene; sRNA;	Bacteria; 	\N
RF01681	P4	Pseudomonas sRNA P4	Gene; sRNA;	Bacteria; 	\N
RF01682	P8	Pseudomonas sRNA P8	Gene; sRNA;	Bacteria; 	\N
RF01683	P6	Pseudomonas sRNA P6	Gene; sRNA;	Bacteria; 	\N
RF01684	mascRNA-menRNA	MALAT1-associated small cytoplasmic RNA/MEN beta RNA	Gene; sRNA;	Eukaryota; 	The seed alignment for this family was obtained from the following publication: Marz M, Stadler PF. Homology Search for Small Structured ncRNAs. Handbook of RNA biochemistry. 2010;1:1-1. There is no PMID available for this book chapter so only the authors have been referenced above.
RF01685	6S-Flavo	6S-Flavo RNA	Gene; sRNA;	Bacteria; 	\N
RF01686	Acido-1	Acido-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01687	Acido-Lenti-1	Acido-Lenti-1 RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01688	Actino-pnp	Actino-pnp RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01689	AdoCbl-variant	AdoCbl variant RNA	Cis-reg; riboswitch;	Bacteria; 	\N
RF01690	Bacillaceae-1	Bacillaceae-1 RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01691	Bacillus-plasmid	Bacillus-plasmid RNA	Gene; sRNA;	Bacteria; 	\N
RF01692	Bacteroid-trp	Bacteroidete tryptophan peptide leader RNA	Cis-reg;	Bacteria; 	\N
RF01693	Bacteroidales-1	Bacteroidales-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01694	Bacteroides-1	Bacteroides-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01695	C4	C4 antisense RNA	Gene; antisense;	Eukaryota; Bacteria; Viruses; 	\N
RF01696	Chlorobi-1	Chlorobi-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01697	Chlorobi-RRM	Chlorobi-RRM RNA	Cis-reg;	Bacteria; 	\N
RF01698	Chloroflexi-1	Chloroflexi-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01699	Clostridiales-1	Clostridiales-1 RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01700	Collinsella-1	Collinsella-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01701	Cyano-1	Cyano-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01702	Cyano-2	Cyano-2 RNA	Gene; sRNA;	Bacteria; 	\N
RF01703	Dictyoglomi-1	Dictyoglomi-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01704	Downstream-peptide	Downstream peptide RNA	Cis-reg;	Bacteria; Viruses; 	\N
RF01705	Flavo-1	Flavo-1 RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01706	Gut-1	Gut-1 RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01707	JUMPstart	JUMPstart RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01708	L17DE	L17 ribosomal protein downstream element	Cis-reg;	Bacteria; 	\N
RF01709	Lacto-rpoB	Lacto-rpoB RNA	Cis-reg;	Bacteria; 	\N
RF01710	Lacto-usp	Lacto-usp RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01711	Lnt	Lnt RNA	Cis-reg;	Bacteria; 	\N
RF01712	Methylobacterium-1	Methylobacterium-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01713	Moco-II	Moco-II RNA	Cis-reg;	Bacteria; 	\N
RF01714	Ocean-V	Ocean-V RNA	Gene; sRNA;	Archaea; 	\N
RF01715	Pedo-repair	Pedo-repair RNA	Cis-reg;	Bacteria; 	\N
RF01716	PhotoRC-I	PhotoRC-I RNA	Cis-reg;	Bacteria; 	\N
RF01717	PhotoRC-II	PhotoRC-II RNA	Cis-reg;	Eukaryota; Viruses; 	\N
RF01718	Polynucleobacter-1	Polynucleobacter-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01719	Pseudomon-1	Pseudomon-1 RNA	Gene; sRNA;	Bacteria; 	\N
RF01720	Pseudomon-Rho	Pseudomon-Rho RNA	Cis-reg;	Bacteria; 	\N
RF01721	Pseudomon-groES	Pseudomon-groES RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01722	Pyrobac-1	Pyrobac-1 RNA	Gene; sRNA;	Archaea; 	\N
RF01723	Rhizobiales-2	Rhizobiales-2 RNA	Gene; sRNA;	Bacteria; 	\N
RF01724	SAM-Chlorobi	SAM-Chlorobi RNA	Cis-reg;	Bacteria; 	\N
RF01725	SAM-I-IV-variant	SAM-I/IV variant riboswitch	Cis-reg; riboswitch;	Eukaryota; Bacteria; 	\N
RF01726	SAM-II_long_loops	SAM-II long loop	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01727	SAM-SAH	SAM/SAH riboswitch	Cis-reg; riboswitch;	Bacteria; 	\N
RF01728	STAXI	STAXI RNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01729	Termite-flg	Termite-flg RNA	Cis-reg;	Bacteria; 	\N
RF01730	Termite-leu	Termite-leu RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01731	TwoAYGGAY	TwoAYGGAY RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01732	asd	asd RNA	Gene; sRNA;	Bacteria; 	\N
RF01733	atoC	atoC RNA	Cis-reg;	Bacteria; 	\N
RF01734	crcB	crcB RNA	Cis-reg;	Eukaryota; Bacteria; Archaea; 	\N
RF01735	epsC	epsC RNA	Cis-reg;	Bacteria; 	\N
RF01736	flg-Rhizobiales	flg-Rhizobiales RNA	Cis-reg;	Bacteria; 	\N
RF01737	flpD	flpD RNA	Cis-reg;	Archaea; 	\N
RF01738	gabT	gabT RNA	Cis-reg;	Bacteria; 	\N
RF01739	glnA	glnA RNA	Cis-reg;	Bacteria; Viruses; 	\N
RF01740	gyrA	gyrA RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01741	hopC	hopC RNA	Cis-reg;	Bacteria; 	\N
RF01742	lactis-plasmid	lactis-plasmid RNA	Gene; sRNA;	Bacteria; 	\N
RF01743	leu-phe_leader	leu/phe leader RNA from Lactococcus	Cis-reg;	Bacteria; 	\N
RF01744	livK	livK RNA	Cis-reg;	Bacteria; 	\N
RF01745	manA	manA RNA	Cis-reg;	Bacteria; Viruses; 	\N
RF01746	mraW	mraW RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01747	msiK	msiK RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01748	nuoG	nuoG RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01749	pan	pan motif	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01750	pfl	pfl RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01752	psaA	psaA RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01753	psbNH	psbNH RNA	Cis-reg;	Bacteria; 	\N
RF01754	radC	radC RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01755	rmf	rmf RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01756	rne-II	rne-II RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01757	sbcD	sbcD RNA	Gene; sRNA;	Bacteria; 	\N
RF01758	sucA-II	sucA-II RNA	Cis-reg;	Bacteria; 	\N
RF01759	sucC	sucC RNA	Cis-reg;	Bacteria; 	\N
RF01760	traJ-II	traJ-II RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01761	wcaG	wcaG RNA	Cis-reg;	Viruses; 	\N
RF01763	ykkC-III	ykkC-III RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01764	yjdF	yjdF RNA	Cis-reg;	Eukaryota; Bacteria; 	\N
RF01765	srg1	srg1	Gene;	Eukaryota; 	\N
RF01766	cspA	cspA thermoregulator	Cis-reg; thermoregulator;	Eukaryota; Bacteria; 	\N
RF01767	SMK_box_riboswitch	SMK box translational riboswitch	Cis-reg; riboswitch;	Eukaryota; Bacteria; 	\N
RF01768	flavi_FSE	ribosomal frameshift site	Cis-reg; frameshift_element;	Viruses; 	\N
RF01769	greA	Enterobacteria greA leader	Gene;	Eukaryota; Bacteria; 	\N
RF01770	rimP	Gammaprotebacteria rimP leader	Gene;	Eukaryota; Bacteria; 	\N
RF01771	rnk_leader	Enterobacteria rnk leader	Gene;	Eukaryota; Bacteria; 	\N
RF01772	rnk_pseudo	Pseudomonas rnk leader	Gene;	Eukaryota; Bacteria; 	\N
RF01773	rpsL_psuedo	Pseudomonas rpsL leader	Gene;	Bacteria; 	\N
RF01774	rpsL_ricks	Rickettsia rpsL leader	Gene;	Eukaryota; Bacteria; 	\N
RF01775	RsaOG	RNA S.aureus Orsay G	Gene; sRNA;	Bacteria; 	\N
RF01776	RatA	RNA anti-toxin A	Gene; antitoxin;	Eukaryota; Bacteria; 	\N
RF01778	Evf-2_5p	Embryonic ventral forebrain-2 long ncRNA	Gene; lncRNA;	Eukaryota; 	\N
RF01779	AS1726	AS1726 sRNA	Gene;	Bacteria; 	\N
RF01780	AS1890	AS1890 sRNA	Gene;	Bacteria; 	\N
RF01781	ASdes	ASdes TB sRNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01782	ASpks	ASpks TB sRNA	Gene; antisense;	Eukaryota; Bacteria; 	\N
RF01783	b55	Mycobacterium B11	Gene; sRNA;	Bacteria; 	\N
RF01784	bablM	bablM sRNA	Gene; sRNA;	Bacteria; 	\N
RF01785	blv_FSE	ribosomal frameshift site	Cis-reg; frameshift_element;	Viruses; 	\N
RF01786	c-di-GMP-II	Cyclic di-GMP-II riboswitch	Cis-reg; riboswitch;	Bacteria; 	\N
RF01787	drz-agam-1	drz-agam-1 riboswitch	Cis-reg; riboswitch;	Eukaryota; 	\N
RF01788	drz-agam-2-2	drz-agam-2-2 riboswitch	Cis-reg; riboswitch;	Eukaryota; 	\N
RF01789	EBER1	Epstein-Barr virus EBER1	Gene; sRNA;	Eukaryota; Viruses; 	\N
RF01790	htlv_FSE	ribosomal frameshift site	Cis-reg; frameshift_element;	Eukaryota; Viruses; 	\N
RF01791	F6	F6 TB sRNA	Gene; sRNA;	Bacteria; 	\N
RF01792	eiav_FSE	ribosomal frameshift site	Cis-reg; frameshift_element;	Viruses; 	\N
RF01793	ffh	ffh sRNA	Gene; sRNA;	Bacteria; 	\N
RF01794	sok	sok antitoxin	Gene; antitoxin;	Eukaryota; Bacteria; Viruses; 	\N
RF01795	FourU	FourU thermometer RNA element	Cis-reg; thermoregulator;	Bacteria; 	FourU is a small thermoregulator element found upstream of the agsA gene in Salmonella species. The four Us occlude the Shine-Dalgarno (SD) sequence by base pairing. It has been suggested that this element is related to that found in Yersina pestis LcrF. Two further potential FourU regulators were found in S. aureus groES and B. melitensis dnaJ [1].
RF01796	frnS	Fumarate/nitrate reductase regulator sRNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01797	fstAT	Fst antitoxin sRNA	Gene; antitoxin;	Eukaryota; Bacteria; 	\N
RF01798	g2	G2	Gene;	Bacteria; 	\N
RF01800	gadd7	growth arrested DNA-damage inducible gene 7	Gene;	Eukaryota; 	\N
RF01802	HSUR	Herpesvirus saimiri U RNA1/RNA2	Gene; snRNA;	Viruses; 	\N
RF01803	GABA3	Editing element of GABA-3 exon 9	Cis-reg;	Eukaryota; 	\N
RF01804	Lambda_thermo	Lambda phage CIII thermoregulator element	Cis-reg; thermoregulator;	Eukaryota; Bacteria; Viruses; 	\N
RF01807	GIR1	GIR1 branching ribozyme	Gene; ribozyme;	Eukaryota; 	\N
RF01808	MicX	MicX Vibrio cholerae sRNA	Gene; sRNA;	Bacteria; 	\N
RF01809	symR	SymR antitoxin	Gene; antitoxin;	Bacteria; 	\N
RF01810	pntA	pntA sRNA	Gene; sRNA;	Bacteria; 	\N
RF01811	PtaRNA1	Plasmid transferred anti-sense RNA	Gene; antitoxin;	Eukaryota; Bacteria; 	\N
RF01812	Pxr	Pxr regulatory sRNA	Gene; sRNA;	Bacteria; 	\N
RF01813	rdlD	rdlD antitoxin	Gene; antitoxin;	Eukaryota; Bacteria; 	\N
RF01814	rhtB	rhtB sRNA	Gene; sRNA;	Bacteria; 	\N
RF01815	rpsB	rpsB sRNA	Gene; sRNA;	Bacteria; 	\N
RF01816	RsaA	RNA Staph. aureus A	Gene; sRNA;	Bacteria; 	\N
RF01817	RsaB	RNA Staph. aureus A	Gene; sRNA;	Bacteria; 	\N
RF01818	RsaC	RNA Staph. aureus C	Gene; sRNA;	Bacteria; 	\N
RF01819	RsaD	RNA Staph. aureus D	Gene; sRNA;	Bacteria; 	\N
RF01820	RsaE	RNA Staph. aureus E	Gene; sRNA;	Bacteria; 	\N
RF01821	RsaH	RNA Staph. aureus H	Gene; sRNA;	Bacteria; 	\N
RF01822	RsaJ	RNA Staph. aureus A	Gene; sRNA;	Bacteria; 	\N
RF01823	rspL	rpsL sRNA	Gene; sRNA;	Eukaryota; Bacteria; 	\N
RF01824	RUF20	RNA of unknown function 20	Gene;	Eukaryota; 	\N
RF01825	RUF21	RNA of unknown function 21	Gene;	Eukaryota; 	\N
RF01826	SAM_V	SAM-V riboswitch	Cis-reg; riboswitch;	Bacteria; 	\N
RF01827	SAR11_0636	SAR11_0636 sRNA	Gene; sRNA;	Bacteria; 	\N
RF01828	SprD	Small pathogenicity island RNA D	Gene; sRNA;	Bacteria; Viruses; 	\N
RF01829	sR6	sR6 snoRNA	Gene; snRNA; snoRNA; CD-box;	Archaea; 	\N
RF01830	StyR-44	Salmonella enterica Typhi npcRNA 44	Gene;	Eukaryota; Bacteria; Archaea; 	\N
RF01831	THF	THF riboswitch	Cis-reg; riboswitch;	Eukaryota; Bacteria; 	\N
RF01832	ROSE_2	Repression of heat shock gene expression (ROSE) element	Cis-reg; thermoregulator;	Eukaryota; Bacteria; 	This family represents a 5' UTR cis-regulatory element found in heat shock mRNAs and is known as the ROSE (repression of heat shock gene expression) element. The ROSE element is a negative regulator of heat shock gene expression. The secondary structure is thought to be regulated by temperature. This regulation blocks access to the ribosome binding site under normal conditions. During heat shock however, the structure changes freeing the ribosome binding site and allowing expression to occur [1,2]. This family includes predicted members of the family from gamma-proteobacteria.
RF01833	astro_FSE	ribosomal frameshift site	Cis-reg; frameshift_element;	Viruses; 	\N
RF01834	fiv_FSE	ribosomal frameshift site	Cis-reg; frameshift_element;	Viruses; 	\N
RF01835	HIV_FS2	ribosomal frameshift site	Cis-reg; frameshift_element;	Viruses; 	\N
RF01836	weev_FSE	ribosomal frameshift site	Cis-reg; frameshift_element;	Viruses; 	\N
RF01837	toga_FSE	togavirus ribosomal frameshift element	Cis-reg; frameshift_element;	Viruses; 	\N
RF01838	sobemo_FSE	sobemovirus ribosomal frameshift elemental	Cis-reg; frameshift_element;	Viruses; 	\N
RF01839	eeev_FSE	eastern equine encephalitis ribosomal frameshift element	Cis-reg; frameshift_element;	Viruses; 	\N
RF01840	ovine_lenti_FSE	ribosomal frameshift element	Cis-reg; frameshift_element;	Viruses; 	\N
RF01841	veev_FSE	venezuelan equine encephalitis virus ribosomal frameshift element	Cis-reg; frameshift_element;	Viruses; 	\N
RF01842	mycoplasma_FSE	mycoplasma ribosomal frameshift element	Cis-reg; frameshift_element;	Bacteria; 	\N
RF01843	neisseria_FSE	neiserria ribosomal frameshift element	Cis-reg; frameshift_element;	Bacteria; 	\N
RF01844	SmY	SmY spliceosomal RNA	Gene; snRNA; splicing;	Eukaryota; 	\N
RF01845	enod40	Early nodulin 40	Gene;	Eukaryota; 	\N
RF01846	Fungi_U3	Fungal small nucleolar RNA U3	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	Small nucleolar RNAs (snoRNAs) are involved in the processing and modification of rRNA in the nucleolus. There are two main classes of snoRNAs: the box C/D class, and the box H/ACA class. U3 snoRNA is a member of the box C/D class. Indeed, the box C/D element is a subset of the six short sequence elements found in all U3 snoRNAs, namely boxes A, A', B, C, C', and D. The U3 snoRNA secondary structure is characterised by a small 5' domain (with boxes A and A'), and a larger 3' domain (with boxes B, C, C', and D), the two domains being linked by a single-stranded hinge. Boxes B and C form the B/C motif, which appears to be exclusive to U3 snoRNAs, and boxes C' and D form the C'/D motif. The latter is functionally similar to the C/D motifs found in other snoRNAs. The 5' domain and the hinge region act as a pre-rRNA-binding domain. The 3' domain has conserved protein-binding sites. Both the box B/C and box C'/D motifs are sufficient for nuclear retention of U3 snoRNA. The box C'/D motif is also necessary for nucleolar localisation, stability and hyper-methylation of U3 snoRNA. Both box B/C and C'/D motifs are involved in specific protein interactions and are necessary for the rRNA processing functions of U3 snoRNA.
RF01847	Plant_U3	Plant small nucleolar RNA U3	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	Small nucleolar RNAs (snoRNAs) are involved in the processing and modification of rRNA in the nucleolus. There are two main classes of snoRNAs: the box C/D class, and the box H/ACA class. U3 snoRNA is a member of the box C/D class. Indeed, the box C/D element is a subset of the six short sequence elements found in all U3 snoRNAs, namely boxes A, A', B, C, C', and D. The U3 snoRNA secondary structure is characterised by a small 5' domain (with boxes A and A'), and a larger 3' domain (with boxes B, C, C', and D), the two domains being linked by a single-stranded hinge. Boxes B and C form the B/C motif, which appears to be exclusive to U3 snoRNAs, and boxes C' and D form the C'/D motif. The latter is functionally similar to the C/D motifs found in other snoRNAs. The 5' domain and the hinge region act as a pre-rRNA-binding domain. The 3' domain has conserved protein-binding sites. Both the box B/C and box C'/D motifs are sufficient for nuclear retention of U3 snoRNA. The box C'/D motif is also necessary for nucleolar localisation, stability and hyper-methylation of U3 snoRNA. Both box B/C and C'/D motifs are involved in specific protein interactions and are necessary for the rRNA processing functions of U3 snoRNA.
RF01848	ACEA_U3	ACEA small nucleolar RNA U3	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	Small nucleolar RNAs (snoRNAs) are involved in the processing and modification of rRNA in the nucleolus. There are two main classes of snoRNAs: the box C/D class, and the box H/ACA class. U3 snoRNA is a member of the box C/D class. Indeed, the box C/D element is a subset of the six short sequence elements found in all U3 snoRNAs, namely boxes A, A', B, C, C', and D. The U3 snoRNA secondary structure is characterised by a small 5' domain (with boxes A and A'), and a larger 3' domain (with boxes B, C, C', and D), the two domains being linked by a single-stranded hinge. Boxes B and C form the B/C motif, which appears to be exclusive to U3 snoRNAs, and boxes C' and D form the C'/D motif. The latter is functionally similar to the C/D motifs found in other snoRNAs. The 5' domain and the hinge region act as a pre-rRNA-binding domain. The 3' domain has conserved protein-binding sites. Both the box B/C and box C'/D motifs are sufficient for nuclear retention of U3 snoRNA. The box C'/D motif is also necessary for nucleolar localisation, stability and hyper-methylation of U3 snoRNA. Both box B/C and C'/D motifs are involved in specific protein interactions and are necessary for the rRNA processing functions of U3 snoRNA.
RF01849	alpha_tmRNA	Alphaproteobacteria transfer-messenger RNA	Gene;	Eukaryota; Bacteria; 	Bacterial tmRNA, also known as 10Sa RNA or SsrA, is named for its dual tRNA and mRNA-like properties. Its role is to liberate the mRNA from a stalled ribosome. To accomplish this part of the tmRNA is used as a reading frame that ends in a translation stop signal. The broken mRNA is replaced in the ribosome by the tmRNA and translation of the tmRNA leads to addition of a proteolysis tag to the incomplete protein enabling recognition by a protease. Recently a number of permuted tmRNA genes have been found encoded in two parts. tmRNAs have been identified in eubacteria and some chloroplasts but are absent from archaeal and eukaryote nuclear genomes.
RF01850	beta_tmRNA	Betaproteobacteria transfer-messenger RNA	Gene;	Bacteria; 	Bacterial tmRNA, also known as 10Sa RNA or SsrA, is named for its dual tRNA and mRNA-like properties. Its role is to liberate the mRNA from a stalled ribosome. To accomplish this part of the tmRNA is used as a reading frame that ends in a translation stop signal. The broken mRNA is replaced in the ribosome by the tmRNA and translation of the tmRNA leads to addition of a proteolysis tag to the incomplete protein enabling recognition by a protease. Recently a number of permuted tmRNA genes have been found encoded in two parts. tmRNAs have been identified in eubacteria and some chloroplasts but are absent from archaeal and eukaryote nuclear genomes.
RF01851	cyano_tmRNA	Cyanobacteria transfer-messenger RNA	Gene;	Eukaryota; Bacteria; Viruses; 	Bacterial tmRNA, also known as 10Sa RNA or SsrA, is named for its dual tRNA and mRNA-like properties. Its role is to liberate the mRNA from a stalled ribosome. To accomplish this part of the tmRNA is used as a reading frame that ends in a translation stop signal. The broken mRNA is replaced in the ribosome by the tmRNA and translation of the tmRNA leads to addition of a proteolysis tag to the incomplete protein enabling recognition by a protease. Recently a number of permuted tmRNA genes have been found encoded in two parts. tmRNAs have been identified in eubacteria and some chloroplasts but are absent from archaeal and eukaryote nuclear genomes.
RF01852	tRNA-Sec	Selenocysteine transfer RNA	Gene; tRNA;	Eukaryota; Bacteria; Viruses; Archaea; 	\N
RF01853	mtDNA_ssA	Mitochondrial DNA control region secondary structure A	Gene; antisense;	Eukaryota; 	\N
RF01854	Bacteria_large_SRP	Bacterial large signal recognition particle RNA	Gene;	Eukaryota; Bacteria; Archaea; 	The signal recognition particle (SRP) is a universally conserved ribonucleoprotein involved in the co-translational targeting of proteins to membranes. The eukaryotic SRP consists of a 300-nucleotide 7S RNA (RFAM:RF00017) and six proteins: SRPs 72, 68, 54, 19, 14, and 9. Archaeal SRP consists of a 7S RNA and homologues of the eukaryotic SRP19 and SRP54 proteins. In most bacteria, the SRP consists of a 4.5S RNA and the Ffh protein (a homologue of the eukaryotic SRP54 protein). Some Gram-positive bacteria (e.g. Bacillus subtilis) have a longer eukaryote-like SRP RNA that includes an Alu domain [2]. The Alu domain of the longer SRP RNAs is not included in this model and therefore the reported bounds of some members are incorrect. The Signal Recognition Particle Database (SRPDB) [1] provides compilations of SRP components, with phylogenetic data and structural illustrations.
RF01855	Plant_SRP	Plant signal recognition particle RNA	Gene;	Eukaryota; 	\N
RF01856	Protozoa_SRP	Protozoan signal recognition particle RNA	Gene;	Eukaryota; Archaea; 	\N
RF01857	Archaea_SRP	Archaeal signal recognition particle RNA	Gene;	Bacteria; Archaea; 	\N
RF01858	RsaF	RNA Staph. aureus F	Gene; sRNA;	Bacteria; 	\N
RF01859	Phe_leader	Phenylalanine leader peptide	Cis-reg; leader;	Eukaryota; Bacteria; 	\N
RF01860	Afu_455	A. fumigatus snoRNA Afu_455	Gene; snRNA; snoRNA; CD-box;	Eukaryota; 	\N
RF01861	TB9Cs1H1	Trypanosomatid snoRNA TB9Cs1H1	Gene; snRNA; snoRNA; HACA-box;	Eukaryota; 	\N
